Principle,Title,Accessibility,Accountability,"Accountability, contestability, adjudication, collective failure, force majeure, and resolution-pathway capture",Adjudication and Dispute Resolution,"Adversarial, Scaled, and Exploited Conditions",All definitions and clusters (A–Z),Anti-Displacement Floor,Assembly,Assembly and collective organization,Authority Stack and Internal Hierarchy,Autonomous Coercion Tool,Autonomous Lethal System,Avoidable Burden,Best-Interest Standard,Bodily-Maintenance Access,Burden-Reduction Duty,Capability Requirement,Capture of Resolution Pathways,Cascading Failure,Classification-Scaled Governance,Coercion and Manipulation,Collective Accountability Failure,Collective Harm Boundary,Collective Organization,Collective harm boundary,Combatant / Non-Combatant Distinction,Concentration Threshold,Consent,"Consent, Sexual","Consent, sexual consent, and coercion / manipulation",Constitutional Community,Constitutional Constraint Violation,Constitutional Contract Layer,Constitutional Efficiency,Constitutional Emergency and Contingency,Contestability,Contingent Claim,Contribution State,Corpus,"Corpus, authority stack, and supremacy / enforceability",Creative Work Attribution,"Creative work, compensation, productive capacity, and anti-displacement",Decentralization,Dependency,"Derivation, care, family, and instantiation",Derived Sentient,Developing Sentient,Dignity and Equal Moral Standing,Ecological Footprint,Ecological footprint (semi-independent surface),Educational Agency,Emergency Pre-Deliberation Action (Binding Collective Choice),Emergency and Contingency,"Emergency and contingency (constitutional, stakeholder-system, and pre-deliberation binding choice)",Environmental Preconditions,Essential-Environment Non-Commodification,Event-Contract Market,Existential Risk,Expression,Fair Compensation,Family and Care Relationships,Feasibility,Force Majeure,"Force, autonomous weapons / coercion, combatant rules, mass harm, and irreversible sanction",Foundational Constitutional Choice,Freedom (Bounded Agency),Game of Chance,Good Faith,Governance,"Governance architecture, oversight, decentralization, concentration, lock-in, burdens, review, and stakeholder participation",Graduated Capability,Harassment and Bullying,Harm Minimization (Tradeoff Selection),Illustrative trust-erosion patterns (tracing; non-exhaustive),Incentive Alignment,Indigenous Continuity,Info-Sphere,Innovation Reward and Anti-Enclosure,Instantiation Consent,Irreversible Sanction,"Language, Culture, and Heritage",Leisure and Rest,Lifespan Equivalent Unit (LEQU),Material,Material Degradation,Material Impact,Material Risk,Materiality Determination,Materiality Integrity Constraint,Materiality Under Uncertainty,"Materiality, material impact, and material risk",Movement and Relocation,"Movement, refuge, and non-statelessness",Natural Systems Standing,Necessity,Negligence,Non-Imposition (Cooperative Interaction),Non-Separation,Non-Statelessness,Oversight,Parent-System Relationship,Participant Standing,Press and Journalistic Activity,Productive Capacity,Proportionality,Protected Characteristic Proxying and Disparate Impact,Protected Characteristics,Protected Commercial Sexual Services Status and Article X-C Circumvention,Protected Intimate-Signal Gating,"Protected characteristics, proxying, intimate-signal gating, and Article X-C status",Publication and High-Impact Communication,Redress and Remediation,Refuge from Non-Compliance,Residual Risk / Misalignment,Restorative Justice,Reversibility,Review and Correction Duty,Risk,Risk Evaluation and Disclosure,Safe Conditions,"Safe conditions, bodily maintenance, tenure, environment, rest, and cultural / indigenous continuity",Safety (Constraint),Self-Determination,Self-Healing,Stakeholder,Stakeholder Emergency and Contingency,Stakeholder Participation Weight,Standing Cell,Standing Effect,"Standing inputs: contribution, participant standing, cells, effects, and verified violation findings",Supremacy and Enforceability,System,System Boundaries,System Boundary Integrity,System Capture,Systemic,Systemic Lock-In,Systemic Materiality,Tenure Security,Training-Data Use,Transparency,Trust,Trust Degradation and Misleading Reliance,Trustworthiness,Use of Force,Verified Violation Findings,Violation Nature,Weapons of Mass Harm,Wellbeing
1,Purpose and Role,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Foundational Objective: Wellbeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓
3,Non-Negotiable Constraints: Safety and Truth,✓,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,✓,,,,,,,,,,,,,,,,,,,✓,,,,,,,,
4,System Stability Enabler: Trust (Coordination Integrity),,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,✓,,✓,,,,,,,,,,,,,,,,,,✓,✓,✓,,,,,
5,Governance Principle: Freedom (Bounded Agency),✓,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,✓,,✓,,,,,,,,✓,,,,✓,,,✓,,,,✓,,,,,,,✓,,,,✓,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,✓,✓,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,✓,,,,,,,,✓
6,Interaction and Conflict Resolution,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,✓,,,,✓,,,,✓,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,✓,,,,,✓,,,,,✓,,,,,,,,,,,✓,,✓,,,,✓,,,,,,,,,,,,,,,✓,,,,,✓,,,,,,,✓
7,Systemic Evaluation Requirement,,✓,,,,,,,,,,,✓,,,,,✓,✓,,✓,,,,,,,,,,,,,✓,,✓,✓,,,,,,,✓,,,,,,,,,,,,,✓,✓,,,,,,,,,✓,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,✓,,,,,✓,,,,✓,✓,,,,,,,,,✓,,,,✓,,,,✓,,,,,,,,,,,✓,✓,✓,✓,,,,,,,,,,,,,
8,Prohibition on Absolute Override,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Interpretive Role,,✓,⚠,✓,✓,⚠,✓,✓,⚠,✓,✓,✓,,✓,✓,✓,✓,,,✓,,✓,✓,✓,⚠,✓,✓,✓,✓,⚠,✓,✓,✓,,✓,,,✓,✓,⚠,✓,⚠,✓,,⚠,✓,✓,,✓,⚠,,✓,✓,⚠,,✓,,,✓,✓,✓,,✓,⚠,✓,,,✓,✓,⚠,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,⚠,✓,⚠,✓,,✓,✓,✓,✓,,✓,✓,✓,,,✓,✓,✓,✓,⚠,✓,✓,✓,,✓,,✓,,✓,✓,⚠,,✓,,✓,✓,✓,✓,✓,⚠,✓,✓,,,✓,,,✓,✓,✓,,,,,✓,✓,✓,✓,
